"gaz","callret-1","callret-2","wkt"
"https://gazetteer.dainst.org/place/2097009",4,"http://arachne.uni-koeln.de/entity/1105520 ; http://arachne.uni-koeln.de/entity/1102161 ; http://arachne.uni-koeln.de/entity/1144284 ; http://arachne.uni-koeln.de/entity/1080604","POINT(12.79888 41.96092)"
"https://gazetteer.dainst.org/place/2282702",6,"http://collection.britishmuseum.org/id/object/G_1857-1218-122 ; http://collection.britishmuseum.org/id/object/G_1857-1218-123 ; http://collection.britishmuseum.org/id/object/407494 ; http://collection.britishmuseum.org/id/object/GAA64327 ; http://collection.britishmuseum.org/id/object/GAA64326 ; http://collection.britishmuseum.org/id/object/407495","POINT(10.33333 36.86667)"
"https://gazetteer.dainst.org/place/2283134",6,"http://collection.britishmuseum.org/id/object/G_1922-0502-1 ; http://collection.britishmuseum.org/id/object/GAA23328 ; http://collection.britishmuseum.org/id/object/446669 ; http://collection.britishmuseum.org/id/object/446915 ; http://collection.britishmuseum.org/id/object/GAA23082 ; http://collection.britishmuseum.org/id/object/G_1922-0502-19","POINT(28.71052 37.70996)"
"https://gazetteer.dainst.org/place/2323295",4,"http://arachne.uni-koeln.de/entity/1187360 ; http://collection.britishmuseum.org/id/object/459868 ; http://collection.britishmuseum.org/id/object/GAA8925 ; http://collection.britishmuseum.org/id/object/G_1805-0703-48","POINT(12.49362 41.89143)"
"https://gazetteer.dainst.org/place/2287718",3,"http://collection.britishmuseum.org/id/object/415602 ; http://collection.britishmuseum.org/id/object/G_1857-1220-344 ; http://collection.britishmuseum.org/id/object/GAA55941","POINT(27.42917 37.03833)"
"https://gazetteer.dainst.org/place/2287728",9,"http://collection.britishmuseum.org/id/object/GAA63913 ; http://collection.britishmuseum.org/id/object/G_1874-0205-130 ; http://collection.britishmuseum.org/id/object/407850 ; http://collection.britishmuseum.org/id/object/G_1872-0405-159 ; http://collection.britishmuseum.org/id/object/G_1972-0301-105 ; http://collection.britishmuseum.org/id/object/GAA62071 ; http://collection.britishmuseum.org/id/object/GAA65128 ; http://collection.britishmuseum.org/id/object/406694 ; http://collection.britishmuseum.org/id/object/409581","POINT(27.36849 37.95137)"
"https://gazetteer.dainst.org/place/2181105",1,"http://agora.ascsa.net/id/agora/object/S%20590","POINT(23.7 38)"
"https://gazetteer.dainst.org/place/2306273",6,"http://collection.britishmuseum.org/id/object/459439 ; http://collection.britishmuseum.org/id/object/G_1816-0610-180 ; http://collection.britishmuseum.org/id/object/GAA9377 ; http://collection.britishmuseum.org/id/object/G_1900-0401-1 ; http://collection.britishmuseum.org/id/object/GAA9376 ; http://collection.britishmuseum.org/id/object/459438","POINT(22.75638 37.73081)"
